IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.24.144.53,4,4,0.00,1.38,0.00,N/A
104.25.157.172,4,4,0.00,1.40,0.00,N/A
104.26.1.76,4,4,0.00,1.41,0.00,N/A
104.24.159.179,4,4,0.00,1.42,0.00,N/A
104.24.146.99,4,4,0.00,1.43,0.00,N/A
104.25.38.241,4,4,0.00,1.43,0.00,N/A
104.24.231.1,4,4,0.00,1.43,0.00,N/A
104.21.14.140,4,4,0.00,1.43,0.00,N/A
104.25.66.112,4,4,0.00,1.45,0.00,N/A
104.25.249.61,4,4,0.00,1.45,0.00,N/A
104.25.237.152,4,4,0.00,1.46,0.00,N/A
104.21.69.140,4,4,0.00,1.46,0.00,N/A
104.25.107.146,4,4,0.00,1.47,0.00,N/A
104.24.218.5,4,4,0.00,1.48,0.00,N/A
104.25.174.18,4,4,0.00,1.48,0.00,N/A
104.25.33.75,4,4,0.00,1.50,0.00,N/A
104.26.3.28,4,4,0.00,1.51,0.00,N/A
104.26.12.124,4,4,0.00,1.51,0.00,N/A
104.25.39.172,4,4,0.00,1.52,0.00,N/A
104.21.13.72,4,4,0.00,1.52,0.00,N/A
104.25.28.46,4,4,0.00,1.52,0.00,N/A
104.25.86.158,4,4,0.00,1.53,0.00,N/A
172.67.76.58,4,4,0.00,1.53,0.00,N/A
104.25.253.174,4,4,0.00,1.53,0.00,N/A
104.25.77.120,4,4,0.00,1.53,0.00,N/A
104.26.7.6,4,4,0.00,1.54,0.00,N/A
104.24.219.183,4,4,0.00,1.54,0.00,N/A
104.24.161.157,4,4,0.00,1.54,0.00,N/A
104.25.218.114,4,4,0.00,1.55,0.00,N/A
104.25.215.74,4,4,0.00,1.55,0.00,N/A
104.24.167.136,4,4,0.00,1.56,0.00,N/A
104.21.43.134,4,4,0.00,1.56,0.00,N/A
104.25.25.84,4,4,0.00,1.57,0.00,N/A
104.21.47.232,4,4,0.00,1.57,0.00,N/A
104.24.152.89,4,4,0.00,1.58,0.00,N/A
104.21.11.174,4,4,0.00,1.58,0.00,N/A
104.25.24.96,4,4,0.00,1.58,0.00,N/A
104.25.97.59,4,4,0.00,1.59,0.00,N/A
104.24.197.30,4,4,0.00,1.59,0.00,N/A
104.26.14.38,4,4,0.00,1.59,0.00,N/A
104.25.181.54,4,4,0.00,1.60,0.00,N/A
104.24.139.141,4,4,0.00,1.60,0.00,N/A
104.25.73.95,4,4,0.00,1.61,0.00,N/A
172.66.149.185,4,4,0.00,1.62,0.00,N/A
104.24.149.2,4,4,0.00,1.62,0.00,N/A
104.24.214.53,4,4,0.00,1.62,0.00,N/A
104.25.117.209,4,4,0.00,1.62,0.00,N/A
104.26.8.6,4,4,0.00,1.62,0.00,N/A
104.21.41.111,4,4,0.00,1.63,0.00,N/A
104.25.245.172,4,4,0.00,1.63,0.00,N/A
104.25.142.90,4,4,0.00,1.63,0.00,N/A
104.21.8.1,4,4,0.00,1.63,0.00,N/A
104.27.200.177,4,4,0.00,1.63,0.00,N/A
104.21.231.44,4,4,0.00,1.64,0.00,N/A
104.21.238.93,4,4,0.00,1.64,0.00,N/A
104.21.36.74,4,4,0.00,1.64,0.00,N/A
104.27.202.86,4,4,0.00,1.65,0.00,N/A
104.21.22.156,4,4,0.00,1.65,0.00,N/A
104.24.130.222,4,4,0.00,1.65,0.00,N/A
104.27.207.85,4,4,0.00,1.65,0.00,N/A
104.24.192.241,4,4,0.00,1.66,0.00,N/A
104.21.12.104,4,4,0.00,1.66,0.00,N/A
104.21.4.55,4,4,0.00,1.66,0.00,N/A
104.25.62.26,4,4,0.00,1.67,0.00,N/A
104.24.164.50,4,4,0.00,1.67,0.00,N/A
104.25.242.254,4,4,0.00,1.67,0.00,N/A
104.25.240.102,4,4,0.00,1.67,0.00,N/A
